"","mono6_n2_asp_atra","mono6_n2_asp","mono6_n2_asp_vitd","mono6_n2_atra","mono6_n2_can_atra","mono6_n2_can","mono6_n2_can_vitd","mono6_n2_ctr","mono6_n2_eco_atra","mono6_n2_eco","mono6_n2_eco_vitd","mono6_n2_vitd","mono6_n3_asp_atra","mono6_n3_asp","mono6_n3_asp_vitd","mono6_n3_atra","mono6_n3_can_atra","mono6_n3_can","mono6_n3_can_vitd","mono6_n3_ctr","mono6_n3_eco_atra","mono6_n3_eco","mono6_n3_eco_vitd","mono6_n3_vitd","mono6_n5_asp_atra","mono6_n5_asp","mono6_n5_asp_vitd","mono6_n5_atra","mono6_n5_can_atra","mono6_n5_can","mono6_n5_can_vitd","mono6_n5_ctr","mono6_n5_eco_atra","mono6_n5_eco","mono6_n5_eco_vitd","mono6_n5_vitd","mono6_n6_asp_atra","mono6_n6_asp","mono6_n6_asp_vitd","mono6_n6_atra","mono6_n6_can_atra","mono6_n6_can","mono6_n6_can_vitd","mono6_n6_ctr","mono6_n6_eco_atra","mono6_n6_eco","mono6_n6_eco_vitd","mono6_n6_vitd"
"ENSG00000120129",10438.5226484603,9586.18474147645,9547.97939369842,1535.31021730732,17839.6682262389,6608.97582504938,11289.107187036,1746.36071881078,32018.4628250262,52800.1571311732,70516.5710098182,2530.6808208531,11520.6244566101,9137.03329578935,7460.66151832411,2101.59895160446,18178.0005080651,9207.86000744804,11594.0264025197,1791.60822040838,40246.8985075595,58772.5344233615,64115.9201084587,1343.49057368015,7473.52934404878,6306.19331844689,7779.50633590337,588.990047247063,12800.0002139404,6709.48446391837,8001.30118768679,538.054483278375,18836.8287390744,22405.9603695442,38086.1155682245,648.960396447674,11999.8527164916,10152.613517427,10377.8886644487,1301.7957897422,9739.91770264739,5885.89601817859,5874.79907642456,1995.24464239318,15949.5386010231,15725.7604892751,25762.1152962014,1758.61448554706
"ENSG00000151012",15578.2437493129,42723.2705163483,29436.844510141,564.443483399925,12992.8794694723,24329.2737247387,19013.8574424152,2233.95442417968,10830.1503970716,30037.0596568231,16619.4891989245,971.755435062169,7429.05397252478,24549.7927727529,27725.7178192338,1001.68223861898,8939.51776157169,28325.1749332702,24050.5656822019,3351.40896454363,6481.27466785393,32018.3024631737,17401.475008736,781.236809364667,16616.8541214254,41671.3928041669,36127.1010880099,692.892648568011,12947.670338085,31698.7889202167,27469.6466343464,1426.20070816006,16501.8678290651,64606.3091927525,46929.3529474965,1118.94741001852,18230.8843371525,40484.3033053265,41984.9419224235,1774.89619105963,14698.9847907097,41745.3115611398,31898.0855264878,5863.23274096673,26411.1971241796,61543.6965588751,47549.8327317379,1882.13210412919
"ENSG00000198727",33333.1736115435,33736.8455870522,41197.2374879662,35757.4647453108,56190.2974281064,75167.0931488288,68290.6472192919,47427.1584464886,55848.1193618686,104973.432267617,80705.6129788308,45156.8358970974,41947.9900045246,35904.4031989013,28662.8057394097,38350.119992841,70060.0432022811,71662.03531361,79632.7488200115,46787.2640885976,53508.6767858767,69388.2015422097,60668.8676421904,45828.6138422758,53702.8224272874,37925.5644899119,47201.0260135887,26011.3277294859,56924.5255120546,55263.5908831827,60654.5084027548,79480.6243494424,49533.8083644516,51123.4242686233,42656.6505047617,29030.0647298824,32322.8835201419,29451.9984576121,31695.8133700926,30983.9712936553,42479.0587346488,41524.6425050468,51177.1026368157,38534.7722844705,42079.5283261788,52256.7401827632,42191.0765857516,36895.4900540975
"ENSG00000144802",781.17552715525,1053.49734229779,767.684656551284,1397.04251352643,48521.9744849766,49235.2391488818,44917.7176557991,2110.86591557191,10606.3076759794,15853.1885749355,8692.27120372992,1732.25968858908,964.301045440302,1244.71561364795,1018.71209421845,855.490776766481,24845.0745759571,27768.790298026,28626.8736750809,1010.35620124879,12577.3072152635,13636.5683861199,11605.1179828737,739.807584625632,516.289741527641,741.756517163112,858.498193427845,679.748343581626,45228.5902106641,50683.6432721181,59021.7532483391,797.282719427394,8869.4265800829,14766.5597369677,9203.90373252636,870.615778492956,841.060500461201,740.925489467627,932.685622571958,1198.14472567917,29291.0396973331,25336.6936354323,27456.7374247108,1547.30039066222,11254.4899565278,19569.6237371984,14437.1012202101,1257.63393465448
"ENSG00000150991",26748.7951202399,26236.9987195381,26208.4704308453,9456.07439104137,51139.1803170558,51337.4212305148,62692.0566311323,12591.7504164721,47775.7112886527,69187.8824778187,69339.8225017006,12813.7383343538,25817.8634262505,22822.0659491385,22610.9562639746,7446.48255689956,37906.5914301544,38457.7951174291,41657.2335052721,10396.1936078997,37780.3797741482,50821.4122550747,45353.7338526926,12236.7462530789,24012.1796897589,21975.6944999709,24131.5187013669,8290.30093069857,39052.979472023,43245.8083517492,47237.7691310809,8658.75757858577,31256.0405852802,40700.476147155,39511.1875005955,10627.8177929458,34423.1627231469,27568.1470428477,26194.7997547872,10702.2289265483,34519.7560583088,38353.3922335216,43712.6520455939,13325.289976668,36299.2916572566,38853.6707100638,44333.6468163446,11379.1685818256
"ENSG00000198786",34601.937174688,35046.7723027288,42724.7250284142,38574.2951089164,50258.7654963908,75247.1480376921,62847.7377783136,47204.783074584,53205.4961517174,97987.1609722435,79267.1796041772,48832.6064558109,31694.9115417818,25978.3091123172,23018.0170799787,28787.3419881719,44062.4818450713,53293.6997044627,61553.8373761808,31029.7622903925,38021.4589627282,52356.8703495323,49420.9828764039,30167.0516774367,57953.3424592191,41764.8490736392,50913.3874113271,28900.5711493503,57019.1266853347,62949.0205471316,68251.9115038902,76759.1732792181,52586.9863274535,61190.1372745671,52061.6225875344,32016.3496035209,28270.7475553896,24797.8762570289,28038.3331945688,28326.5016858213,37027.1843547103,38227.0973649401,48767.7438626491,33776.1532440751,37152.8242472453,51015.4331804621,39765.7305886845,38011.4674191893
"ENSG00000100644",11608.345933745,4132.78673428788,8784.2356234744,14206.8569231148,32554.3145634281,8100.36875461413,28246.4908090651,5421.33475481291,49097.0228937283,33780.5929284668,61237.5923346189,9722.97104758413,8020.33689556378,2835.6605016966,6896.71267948518,11235.8580680921,24287.4196818026,8058.40603573474,21167.2065184643,1998.41022548004,33071.4611509803,28247.1773712484,41833.4981926461,4062.03684465114,9477.13904223529,2098.13534707205,5156.44736888132,7610.55258711694,27105.5434904488,5511.48119789687,17371.0502833492,1466.28754880166,44914.2523966765,25550.6565617609,59923.3950821664,4290.02593914774,7753.20880360688,1447.3697700043,3899.80937051235,11244.601078601,20893.1695253925,4374.52116229637,14435.4180600239,1869.58891919635,45812.0300585969,15019.4339588246,39338.459512968,4770.54410789607
"ENSG00000254087",9002.27194828497,7996.32262652806,7914.87609967967,17294.835640888,36163.1138795326,42460.2235543381,39634.9373947787,14744.0991995859,41716.6086040031,54032.6106845512,53105.3600809279,10906.5193338778,6503.21762555751,7449.48616574741,6119.69294476913,10427.5507790135,22155.9387530341,28733.2922343971,26483.0658419682,8981.01910260543,31952.0783859154,35805.6824046332,32848.0904684117,6910.13164377435,8267.87695478626,6787.78778816005,8946.00342706418,11244.0140369248,37203.6419016809,44116.275970434,42239.9593802135,6371.13520597175,44777.2572785741,49533.8786152137,53545.7583477902,5822.6977274696,8130.70332315313,5812.18621760587,7209.29355090741,14935.5025825882,26620.8920121045,27629.4312496815,27321.2714695368,10719.6424278668,34229.2583366889,36167.3452802373,43152.8249343644,9417.57059721
"ENSG00000163734",4099.87818059958,11984.5116863829,6175.36887482476,80.2072394226828,19624.5364974846,5489.68987890486,5425.11730987189,221.015277886879,28630.1235783222,46815.4763316288,13199.2513254721,459.877572111361,7186.6369193575,17870.5598816599,9551.08841717821,131.494965687434,65656.118579833,22411.295389974,25401.3606427168,310.878831153473,39673.8811397287,30739.1708421394,20698.4399081031,205.830910211398,1052.8545360185,1830.39576425948,1596.13605989718,11.2665471311872,4874.26776961677,3016.65882648787,3255.21262390518,62.3573076647123,14371.3922791644,26868.7264892017,7132.89972498902,86.3340437725605,1893.57215011168,2803.91098965388,2548.6832193847,57.9830209857584,7985.64772024535,5487.58143265224,5671.60014366352,269.187155969778,38299.9522274043,50255.7989873361,42660.2979125385,414.604593842135
"ENSG00000158050",1049.54294749418,3398.40150108368,1607.0934442588,151.436056521931,16804.5047254912,11668.7413007994,7841.88178516327,883.381064538632,23793.8417014676,73496.1423056213,48990.0738676951,319.043451087858,2061.88674372903,4099.18363148483,1716.22776330872,238.237937833703,16892.2961687644,13451.0571157939,8119.02617428216,1102.94402704884,25010.4514986625,61965.9871703036,23380.1698224867,151.249550634574,1026.06250174568,3025.12050643253,1324.00538822932,41.310672814353,15279.2431575869,13373.4470243086,9131.75815514489,249.429230658849,15485.484930791,34310.3552128146,18411.5774966198,64.5080214705087,1240.92004540247,4697.85446556886,2291.56067237657,154.450347935516,4501.90309088157,5606.93702274027,3320.29820742866,858.559815817671,10263.4506648137,23324.0062656307,15231.0485645415,288.495696548486
"ENSG00000185215",5707.49602870219,6206.30313958123,8512.31446689309,10335.959778738,11609.1558349459,40614.5136166561,35548.6779506664,8889.5745001147,15367.1225782944,64751.7600335274,40096.1219706476,10588.5592221824,6191.92192628736,7633.28689166383,9484.30500205255,13424.0889970907,6425.42361375834,20019.1471642674,15216.9368968822,10085.9906002922,14730.0595675581,33747.5683790003,26793.731674653,8421.96954337819,9035.43253125091,8810.1477816059,14814.3571089334,11217.725426952,21368.328432862,36423.0742741755,36117.4135979581,5141.80542629599,25455.9090409171,69566.5760771943,51920.874742362,8088.23884242258,5443.51163553938,6290.71811715987,9112.00039876758,11037.8120745544,8920.12192465209,12922.3244105779,15881.3097856569,7145.0262688072,15862.8226629981,43082.110667289,31908.6039345086,10990.4767750986
