"ID","shLuci_vitro_v2_1","shLuci_vitro_v2_2","shLuci_vitro_v2_3","shLuci_vivo_v2_1_NN","shLuci_vivo_v2_2_NN","shLuci_vivo_v2_3_NN","shRad21_vitro_v2_1","shRad21_vitro_v2_2","shRad21_vitro_v2_3","shRad21_vivo_v2_1_NN","shRad21_vivo_v2_2_NN","shRad21_vivo_v2_3_NN"
"ENSMUSG00000000605",1297,1793,1965,2637,2358,2529,2774,2246,3362,2736,2869,2613
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,15,19,3,1,0,0,0,2,1
"ENSMUSG00000000627",32,64,58,15,20,27,75,80,135,36,37,54
"ENSMUSG00000000628",4120,5067,8499,467,410,537,5493,5235,7738,561,378,480
"ENSMUSG00000000631",2657,3445,4907,2632,2202,2115,5337,4287,6368,2389,2572,2531
"ENSMUSG00000000632",0,0,1,0,2,0,0,1,1,1,1,0
"ENSMUSG00000000673",286,418,369,991,932,955,173,119,170,291,356,452
"ENSMUSG00000000682",455,672,381,1915,1356,1903,90,79,73,388,441,462
"ENSMUSG00000000686",121,187,274,784,566,713,276,230,437,517,719,705
"ENSMUSG00000000690",51,68,85,31,20,46,92,64,73,41,47,46
"ENSMUSG00000000693",161,208,316,166,104,98,199,178,274,123,150,193
"ENSMUSG00000000701",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000706",0,5,2,0,13,0,1,1,6,0,1,0
"ENSMUSG00000000708",597,832,881,427,447,501,1514,1276,1865,427,470,456
"ENSMUSG00000000711",720,1175,1110,443,353,456,1177,1039,1673,396,465,445
"ENSMUSG00000000724",1,1,0,1,2,0,0,1,2,0,0,0
"ENSMUSG00000000730",5,5,3,5,5,16,0,1,2,6,11,3
"ENSMUSG00000000731",10,12,13,74,73,75,4,9,6,73,98,55
"ENSMUSG00000000732",2259,1955,1860,341,329,257,429,498,525,243,141,180
"ENSMUSG00000000738",1257,1618,2222,1898,1581,1809,2375,2024,3119,1851,1990,1868
"ENSMUSG00000000739",0,0,0,0,7,2,0,1,2,14,0,5
"ENSMUSG00000000740",690,795,831,929,736,977,830,779,958,862,762,831
