"","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000045",0,2.11798037622904,0,0,0,1.13091239199964,2.08719199557902,0,0.640481516052751,0,0,0.996119907966749,0.987571640367685,4.0146304856967,0,0,0,0
"ENSMLUG00000000046",0,1.05899018811452,0.835582704024672,1.73549893418831,3.12881640235747,0,1.04359599778951,0,0.640481516052751,0,0,1.9922398159335,0,1.00365762142418,2.28362140320429,0,1.18615992615249,0
"ENSMLUG00000000047",0,0,0,0,0,0,0,0,0,0.849190664782476,0,0,0,0,0,1.01173877628463,0,0
"ENSMLUG00000000048",0,1.05899018811452,0.835582704024672,0,0,0,0,1.12666765355458,0,0.849190664782476,0.962328252032639,0,0,0,0,0,0,0
"ENSMLUG00000000054",2.43146769454294,3.17697056434356,7.52024433622205,6.94199573675324,5.21469400392911,6.78547435199784,5.21797998894755,5.63333826777289,7.04529667658027,8.49190664782476,3.84931300813056,6.97283935576724,2.96271492110305,3.01097286427253,15.98534982243,6.07043265770776,3.55847977845747,10.0203503679959
"ENSMLUG00000000058",4.05244615757156,5.29495094057261,10.8625751523207,6.94199573675324,3.12881640235747,5.6545619599982,3.13078799336853,1.12666765355458,8.96674122473852,6.79352531825981,0.962328252032639,1.9922398159335,3.95028656147074,4.0146304856967,11.4181070160214,4.04695510513851,9.48927940921992,7.51526277599689
"ENSMLUG00000000059",0.810489231514312,0,3.34233081609869,0.867749467094155,0,0,0,1.12666765355458,3.20240758026376,2.54757199434743,0.962328252032639,1.9922398159335,2.96271492110305,0,4.56724280640857,1.01173877628463,0,2.50508759199896
"ENSMLUG00000000061",0,0,0.835582704024672,0,0,0,1.04359599778951,0,1.2809630321055,0,2.88698475609792,0.996119907966749,0,1.00365762142418,0,0,1.18615992615249,0
"ENSMLUG00000000062",0,0,0,0,0,0,0,0,0.640481516052751,0,0,0,0,1.00365762142418,0,0,0,0
"ENSMLUG00000000063",1.62097846302862,1.05899018811452,0,0,1.04293880078582,1.13091239199964,4.17438399115804,0,0,1.69838132956495,1.92465650406528,1.9922398159335,0,0,1.52241426880286,1.01173877628463,0,0
"ENSMLUG00000000064",0,0,0.835582704024672,0.867749467094155,0,0,0,0,0.640481516052751,0.849190664782476,0,0,0,0,0,1.01173877628463,0,0
"ENSMLUG00000000068",0,0,0,0,0,1.13091239199964,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000072",0.810489231514312,0,0,0.867749467094155,0,0,0,0,0,0.849190664782476,0,0.996119907966749,0,0,0.761207134401429,0,0,0
"ENSMLUG00000000073",0,0,0,0,1.04293880078582,0,1.04359599778951,1.12666765355458,0.640481516052751,0,0.962328252032639,0,0,3.01097286427253,0.761207134401429,0,0,1.25254379599948
"ENSMLUG00000000074",5.67342462060018,4.23596075245808,0.835582704024672,0.867749467094155,3.12881640235747,0,9.39236398010559,5.63333826777289,2.56192606421101,3.39676265912991,2.88698475609792,0.996119907966749,5.92542984220611,1.00365762142418,8.37327847841572,1.01173877628463,2.37231985230498,5.01017518399793
"ENSMLUG00000000076",0.810489231514312,0,0,0,0,0,0,0,0,0,1.92465650406528,0.996119907966749,0,0,0,0,0,0
"ENSMLUG00000000077",4.86293538908587,1.05899018811452,5.84907892817271,1.73549893418831,6.25763280471493,0,7.30517198452657,4.50667061421831,7.04529667658027,0.849190664782476,0.962328252032639,0.996119907966749,2.96271492110305,3.01097286427253,7.61207134401429,4.04695510513851,3.55847977845747,1.25254379599948
"ENSMLUG00000000079",1.62097846302862,1.05899018811452,5.84907892817271,2.60324840128246,1.04293880078582,1.13091239199964,0,1.12666765355458,1.92144454815825,0,0.962328252032639,3.984479631867,0.987571640367685,0,2.28362140320429,1.01173877628463,0,1.25254379599948
"ENSMLUG00000000080",4.86293538908587,1.05899018811452,14.2049059684194,5.20649680256493,3.12881640235747,5.6545619599982,2.08719199557902,2.25333530710916,7.68577819263302,0.849190664782476,0.962328252032639,7.96895926373399,2.96271492110305,5.01828810712088,6.08965707521143,3.03521632885388,8.30311948306743,10.0203503679959
"ENSMLUG00000000082",0,0,0,0,0,0,0,1.12666765355458,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000084",0.810489231514312,0,0,0,0,0,0,0,0,0,0,0.996119907966749,0,0,0,0,0,0
"ENSMLUG00000000085",0,0,0,0,0,0,0,0,0,0,1.92465650406528,0,0,0,0,0,0,0
"ENSMLUG00000000088",2.43146769454294,0,3.34233081609869,3.47099786837662,0,1.13091239199964,2.08719199557902,4.50667061421831,4.48337061236926,1.69838132956495,0,1.9922398159335,4.93785820183842,3.01097286427253,2.28362140320429,1.01173877628463,0,1.25254379599948
"ENSMLUG00000000089",4.05244615757156,1.05899018811452,7.52024433622205,2.60324840128246,0,1.13091239199964,5.21797998894755,0,3.20240758026376,2.54757199434743,1.92465650406528,3.984479631867,5.92542984220611,1.00365762142418,2.28362140320429,3.03521632885388,1.18615992615249,5.01017518399793
"ENSMLUG00000000090",2.43146769454294,0,1.67116540804934,0,0,0,1.04359599778951,0,1.92144454815825,0.849190664782476,0,0.996119907966749,0.987571640367685,1.00365762142418,0.761207134401429,0,0,0
"ENSMLUG00000000091",1.62097846302862,0,3.34233081609869,1.73549893418831,0,1.13091239199964,1.04359599778951,2.25333530710916,1.2809630321055,0.849190664782476,2.88698475609792,2.98835972390025,0.987571640367685,1.00365762142418,1.52241426880286,0,1.18615992615249,0
"ENSMLUG00000000093",0,0,0.835582704024672,0.867749467094155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000095",4.86293538908587,3.17697056434356,7.52024433622205,6.07424626965908,9.3864492070724,3.39273717599892,3.13078799336853,3.38000296066373,7.04529667658027,5.09514398869486,7.69862601626111,0.996119907966749,2.96271492110305,4.0146304856967,7.61207134401429,4.04695510513851,2.37231985230498,2.50508759199896
"ENSMLUG00000000097",0,5.29495094057261,3.34233081609869,0.867749467094155,0,2.26182478399928,0,2.25333530710916,1.92144454815825,0.849190664782476,0,0,0.987571640367685,1.00365762142418,1.52241426880286,1.01173877628463,1.18615992615249,0
"ENSMLUG00000000099",0.810489231514312,0,0,0,2.08587760157164,0,1.04359599778951,0,3.20240758026376,0,0,0,0,2.00731524284835,0,2.02347755256925,2.37231985230498,0
"ENSMLUG00000000101",2.43146769454294,2.11798037622904,3.34233081609869,3.47099786837662,3.12881640235747,2.26182478399928,11.4795559756846,1.12666765355458,3.20240758026376,2.54757199434743,1.92465650406528,0.996119907966749,1.97514328073537,2.00731524284835,3.80603567200714,0,0,1.25254379599948
"ENSMLUG00000000102",0,0,0,0,0,0,0,0,0.640481516052751,0,0,0,0.987571640367685,0,0,3.03521632885388,0,0
"ENSMLUG00000000103",2.43146769454294,1.05899018811452,4.17791352012336,0,3.12881640235747,0,1.04359599778951,2.25333530710916,1.2809630321055,0,0.962328252032639,0.996119907966749,1.97514328073537,1.00365762142418,2.28362140320429,5.05869388142313,2.37231985230498,0
"ENSMLUG00000000108",0.810489231514312,3.17697056434356,3.34233081609869,0,0,0,1.04359599778951,3.38000296066373,0.640481516052751,0.849190664782476,0,0,0.987571640367685,2.00731524284835,0,1.01173877628463,0,0
"ENSMLUG00000000110",6.4839138521145,3.17697056434356,0,4.33874733547077,1.04293880078582,2.26182478399928,2.08719199557902,1.12666765355458,2.56192606421101,1.69838132956495,0.962328252032639,0,2.96271492110305,1.00365762142418,0,0,2.37231985230498,5.01017518399793
"ENSMLUG00000000112",0,0,1.67116540804934,0.867749467094155,0,0,2.08719199557902,1.12666765355458,0,1.69838132956495,1.92465650406528,2.98835972390025,0.987571640367685,2.00731524284835,2.28362140320429,1.01173877628463,0,1.25254379599948
"ENSMLUG00000000113",3.24195692605725,1.05899018811452,1.67116540804934,0,1.04293880078582,1.13091239199964,1.04359599778951,1.12666765355458,2.56192606421101,2.54757199434743,0,0,1.97514328073537,1.00365762142418,0.761207134401429,4.04695510513851,0,5.01017518399793
"ENSMLUG00000000116",0.810489231514312,3.17697056434356,0.835582704024672,0,0,0,0,1.12666765355458,0.640481516052751,0,0,0,0,1.00365762142418,1.52241426880286,0,3.55847977845747,0
"ENSMLUG00000000120",1.62097846302862,0,0,0,1.04293880078582,0,0,0,1.92144454815825,0,0.962328252032639,0,0,0,1.52241426880286,1.01173877628463,0,0
"ENSMLUG00000000123",0,0,0,0,0,0,0,0,0,0,0,0,0,1.00365762142418,0,0,0,0
"ENSMLUG00000000124",1.62097846302862,2.11798037622904,2.50674811207402,6.07424626965908,4.17175520314329,0,6.26157598673706,1.12666765355458,1.92144454815825,7.64271598304229,0.962328252032639,1.9922398159335,8.88814476330916,1.00365762142418,3.04482853760571,2.02347755256925,0,2.50508759199896
"ENSMLUG00000000127",4.86293538908587,1.05899018811452,1.67116540804934,0.867749467094155,2.08587760157164,2.26182478399928,3.13078799336853,4.50667061421831,1.92144454815825,2.54757199434743,4.8116412601632,1.9922398159335,0.987571640367685,3.01097286427253,6.85086420961286,1.01173877628463,1.18615992615249,1.25254379599948
"ENSMLUG00000000128",0,0,0,1.73549893418831,1.04293880078582,0,0,0,0.640481516052751,0,0,0,0,0,0.761207134401429,0,0,1.25254379599948
"ENSMLUG00000000130",0,0,0,0,0,0,0,1.12666765355458,0.640481516052751,0,0,0,0,1.00365762142418,0.761207134401429,0,0,0
